listing,price_in_usd,vendor,origin,destination,drug category,type of product,description,num_feedback,average_ rating
75% THC | DURBAN POISON Cannabis Vape Oil,70,akindercare,US,US,cannabis,eliquid,"STRAIN: DURBAN POISON | [90% Sativa / 10% Indica] | [Sativa]

ATTRIBUTES: energetic, uplifted, happy

MEDICAL BENEFITS: stress, depression, anxiety

Slow brewed. Our products are prepared in small batches with great love and care using A grade, high-quality Cannabis concentrate (shatter/wax) and our own custom blend of e-liquid.

Brewed on extremely low heat over the course of days and filtered over and over and over again, we challenge you to find a cleaner more effective cannabis cloud on the market as affordable as ours.

We go to great lengths to ensure the plants original terpene profiles are preserved during the brew process.

Item is heat activated having been thoroughly decarboxylated (twice)

DISCLAIMER: No Vitamin E Oil (acetate) or similarly oil thickners are used in the production of our cannabis vaporizer juice.

Our cannabis vaporizer oils are intended for use with standard e-liquid vaporizer pens, tanks and devices.

For an optimum experience and flavor, oil is best heated using 4.2 volt(s) battery or device.

Package includes dropper top for easy transfer and refills of your 510 thread cartridges, tanks and pens.

ããããããããã_

DURBAN POISON This pure sativa originates from the South African port city of Durban. It has gained popularity worldwide for its sweet smell and energetic, uplifting effects. Durban Poison is the perfect strain to help you stay productive through a busy day, when exploring the outdoors, or to lend a spark of creativity.",0,0
DURBAN POISON Cannabis Vape Oil | 50% THC,45,akindercare,US,US,cannabis,eliquid,"STRAIN: DURBAN POISON | [90% Sativa / 10% Indica] | [Sativa]

ATTRIBUTES: energetic, uplifted, happy

MEDICAL BENEFITS: stress, depression, anxiety

Slow brewed. Our products are prepared in small batches with great love and care using A grade, high-quality Cannabis concentrate (shatter/wax) and our own custom blend of e-liquid.

Brewed on extremely low heat over the course of days and filtered over and over and over again, we challenge you to find a cleaner more effective cannabis cloud on the market as affordable as ours.

We go to great lengths to ensure the plants original terpene profiles are preserved during the brew process.

Item is heat activated having been thoroughly decarboxylated (twice)

DISCLAIMER: No Vitamin E Oil (acetate) or similarly oil thickners are used in the production of our cannabis vaporizer juice.

Our cannabis vaporizer oils are intended for use with standard e-liquid vaporizer pens, tanks and devices.

For an optimum experience and flavor, oil is best heated using 4.2 volt(s) battery or device.

Package includes dropper top for easy transfer and refills of your 510 thread cartridges, tanks and pens.

ããããããããã_

DURBAN POISON This pure sativa originates from the South African port city of Durban. It has gained popularity worldwide for its sweet smell and energetic, uplifting effects. Durban Poison is the perfect strain to help you stay productive through a busy day, when exploring the outdoors, or to lend a spark of creativity.",9,5
STRAWBERRY COUGH Cannabis Vape Oil | 50% THC,45,akindercare,US,US,Synthetic cannabinoid,eliquid,"STRAIN: STRAWBERRY COUGH | [80% Sativa / 20% Indica] | [sativa]

ATTRIBUTES: relaxed, euphoric, happy, uplifted, energetic

MEDICAL BENEFITS: pain, depression, stress, headaches, fatigue

Slow brewed. Our products are prepared in small batches with great love and care using A grade, high-quality Cannabis concentrate (shatter/wax) and our own custom blend of e-liquid.

Brewed on extremely low heat over the course of days and filtered over and over and over again, we challenge you to find a cleaner more effective cannabis cloud on the market as affordable as ours.

We go to great lengths to ensure the plants original terpene profiles are preserved during the brew process.

Item is heat activated having been thoroughly decarboxylated (twice)

DISCLAIMER: No Vitamin E Oil (acetate) or similarly oil thickners are used in the production of our cannabis vaporizer juice.

Our cannabis vaporizer oils are intended for use with standard e-liquid vaporizer pens, tanks and devices.

For an optimum experience and flavor, oil is best heated using 4.2 volt(s) battery or device.

Package includes dropper top for easy transfer and refills of your 510 thread cartridges, tanks and pens.

STRAIN: Strawberry Cough [Sativa]

Known for its sweet smell of fresh strawberries and an expanding sensation that can make even the most seasoned consumer cough, Strawberry Cough is a potent strain with mysterious genetic origins. The skunky, berry flavors will capture your senses while the cerebral, uplifting effects provide an aura of euphoria that is sure to leave a smile on your face.",0,0
75% THC | AGENT ORANGE Cannabis Vape Oil,70,akindercare,US,US,cannabis,eliquid,"STRAIN: AGENT ORANGE | [70% Sativa / 30% Indica] | [hybrid]

EFFECTS: happy, uplifted, energetic, creative, relaxed

MEDICAL: depression, stress, pain, headaches, fatigue

Slow brewed. Our products are prepared in small batches with great love and care using A grade, high-quality Cannabis concentrate (shatter/wax) and our own custom blend of e-liquid.

Brewed on extremely low heat over the course of days and filtered over and over and over again, we challenge you to find a cleaner more effective cannabis cloud on the market as affordable as ours.

We go to great lengths to ensure the plants original terpene profiles are preserved during the brew process.

Item is heat activated having been thoroughly decarboxylated (twice)

DISCLAIMER: No Vitamin E Oil (acetate) or similarly oil thickners are used in the production of our cannabis vaporizer juice.

Our cannabis vaporizer oils are intended for use with standard e-liquid vaporizer pens, tanks and devices.

For an optimum experience and flavor, oil is best heated using 4.2 volt(s) battery or device.

Package includes dropper top for easy transfer and refills of your 510 thread cartridges, tanks and pens.

AGENT ORANGE [hybrid] A well-balanced hybrid that combines the smooth Orange Velvet with the bold Jack the Ripper, Agent Orange will capture your senses. Wonderful smells of oranges and fresh-cut citrus fruit will entice you immediately, while the pigments of deep maroon and purple will make this bud stand out in a sea of green. The effects are uplifting and motivating, serving as a great mood enhancer if you are feeling lethargic or depressed.",2,5
HEADBAND Cannabis Vape Oil | 50% THC,45,akindercare,US,US,cannabis,eliquid,"STRAIN: HEADBAND | [55% Indica /45% Sativa] | [hybrid]

ATTRIBUTES: relaxed, happy, euphoric, uplifted, creative

MEDICAL BENEFITS: stress, anxiety, depression, pain, insomnia

Slow brewed. Our products are prepared in small batches with great love and care using A grade, high-quality Cannabis concentrate (shatter/wax) and our own custom blend of e-liquid.

Brewed on extremely low heat over the course of days and filtered over and over and over again, we challenge you to find a cleaner more effective cannabis cloud on the market as affordable as ours.

We go to great lengths to ensure the plants original terpene profiles are preserved during the brew process.

Item is heat activated having been thoroughly decarboxylated (twice)

DISCLAIMER: No Vitamin E Oil (acetate) or similarly oil thickners are used in the production of our cannabis vaporizer juice.

Our cannabis vaporizer oils are intended for use with standard e-liquid vaporizer pens, tanks and devices.

For an optimum experience and flavor, oil is best heated using 4.2 volt(s) battery or device.

Package includes dropper top for easy transfer and refills of your 510 thread cartridges, tanks and pens.

ããããããããã_

HEADBAND [Hybrid] -

Meet Headband, the love-child of cannabisê power couple, OG Kush and Sour Diesel. The smooth, creamy smoke is accented by flavors of lemons and diesel while the long-lasting effects are great for pain relief, helping you to relax, and to combat elevated stress levels. Many report that the effects create a slight pressure around the crown of their head and feels as though they are wearing a headband. The effects have been known to come on slow, so pace yourself with this potent hybrid.",0,0
KING LOUIS XIII Cannabis Vape Oil | 50% THC,45,akindercare,US,US,cannabis,eliquid,"STRAIN: KING LOUIS XIII | [50% Sativa / 50% Indica] | [hybrid]

ATTRIBUTES: relaxed, sleepy, happy, euphoric, hungry

MEDICAL BENEFITS: insomnia, stress, pain, depression, appetite

Slow brewed. Our products are prepared in small batches with great love and care using A grade, high-quality Cannabis concentrate (shatter/wax) and our own custom blend of e-liquid.

Brewed on extremely low heat over the course of days and filtered over and over and over again, we challenge you to find a cleaner more effective cannabis cloud on the market as affordable as ours.

We go to great lengths to ensure the plants original terpene profiles are preserved during the brew process.

Item is heat activated having been thoroughly decarboxylated (twice)

DISCLAIMER: No Vitamin E Oil (acetate) or similarly oil thickners are used in the production of our cannabis vaporizer juice.

Our cannabis vaporizer oils are intended for use with standard e-liquid vaporizer pens, tanks and devices.

For an optimum experience and flavor, oil is best heated using 4.2 volt(s) battery or device.

Package includes dropper top for easy transfer and refills of your 510 thread cartridges, tanks and pens.

KING LOUIS XIII King Louis XIII might be most famous for making wigs on men de rigeur for the French aristocracy, but in Southern California the name will bring to mind a popular indica-dominant strain. This strain announces itself as many people did in the 1600s: by its smell. The difference is this monarchs odor is one thats meant to be enjoyed. Bred in part from OG Kush, Louis XIII has a very similar spicy kush aroma. Good for insomnia",2,5
75% THC | NORTHERN LIGHTS #5 Cannabis Vape Oil,70,akindercare,US,US,cannabis,eliquid,"STRAIN: NORTHERN LIGHTS #5 | [95% Indica / 5% Sativa] | [indica]

ATTRIBUTES: relaxed, happy, euphoric, sleepy, uplifted

MEDICAL BENEFITS: stress, pain, anxiety, insomnia, depression

Slow brewed. Our products are prepared in small batches with great love and care using A grade, high-quality Cannabis concentrate (shatter/wax) and our own custom blend of e-liquid.

Brewed on extremely low heat over the course of days and filtered over and over and over again, we challenge you to find a cleaner more effective cannabis cloud on the market as affordable as ours.

We go to great lengths to ensure the plants original terpene profiles are preserved during the brew process.

Item is heat activated having been thoroughly decarboxylated (twice)

DISCLAIMER: No Vitamin E Oil (acetate) or similarly oil thickners are used in the production of our cannabis vaporizer juice.

Our cannabis vaporizer oils are intended for use with standard e-liquid vaporizer pens, tanks and devices.

For an optimum experience and flavor, oil is best heated using 4.2 volt(s) battery or device.

Package includes dropper top for easy transfer and refills of your 510 thread cartridges, tanks and pens.

-??NORTHERN LIGHTS #5??-

A descendant of indigenous Afghani and Thai landrace strains, Northern Lights has given rise to famous hybrids like Shiva Skunk and Super Silver Haze.

Pungently sweet, spicy aromas radiate from the crystal-coated buds, which sometimes reveal themselves in hues of purple. Northern Lightsê psychoactive effects settle in firmly throughout the body, relaxing muscles and pacifying the mind in dreamy euphoria. Comfortable laziness allows patients to relieve pain and sleeplessness, while its mellow contentment roots out depression and stress.",4,5
75% THC | LEMON DIESEL Cannabis Vape Oil,70,akindercare,US,US,cannabis,eliquid,"STRAIN: LEMON DIESEL | [50% Sativa / 50% Indica] | [hybrid]

ATTRIBUTES: relaxed, happy, euphoric, energetic, uplifted

MEDICAL BENEFITS: stress, depression, pain, headaches, anxiety

Slow brewed. Our products are prepared in small batches with great love and care using A grade, high-quality Cannabis concentrate (shatter/wax) and our own custom blend of e-liquid.

Brewed on extremely low heat over the course of days and filtered over and over and over again, we challenge you to find a cleaner more effective cannabis cloud on the market as affordable as ours.

We go to great lengths to ensure the plants original terpene profiles are preserved during the brew process.

Item is heat activated having been thoroughly decarboxylated (twice)

DISCLAIMER: No Vitamin E Oil (acetate) or similarly oil thickners are used in the production of our cannabis vaporizer juice.

Our cannabis vaporizer oils are intended for use with standard e-liquid vaporizer pens, tanks and devices.

For an optimum experience and flavor, oil is best heated using 4.2 volt(s) battery or device.

Package includes dropper top for easy transfer and refills of your 510 thread cartridges, tanks and pens.

LEMON DIESEL [Hybrid]

Bred from the Lost Coast OG and California Sour strains, as smelling fruity and sweet, with a hint of a skunk. The smell and flavor have been likened to citrus and pepper, with effects that can –sneak up” on its consumer.

The Lost Coast OG in the genetics brings a euphoric spaciness that starts in the head and eventually provides a nice body buzz as well.

Overall, the Lemon Diesel strain is considered a fast-acting and full-bodied hybrid, making it ideal for patients suffering from chronic aches and pain, migraines, and inflammation.",4,5
**STIIZY VAPE PEN pre-loaded cannabis oil vape cartridges ***,350,vapestore,US,worldwide,cannabis,vape pen,"Dank Vape Full Gram Cartridges. When it comes to ease of use, portability, and functionality, one cannabis product stands tall above the rest, that is the Dank Vape Cartridge.You may know them as pre-loaded cannabis oil vape cartridges, hash oil vape pens, or even disposable wax pens.",0,0
**STIIZY VAPE PEN pre-loaded cannabis oil vape cartridges ***,15,vapestore,US,US,cannabis,vape pen,"Dank Vape Full Gram Cartridges. When it comes to ease of use, portability, and functionality, one cannabis product stands tall above the rest, that is the Dank Vape Cartridge.You may know them as pre-loaded cannabis oil vape cartridges, hash oil vape pens, or even disposable wax pens.",0,0
